days,title,body,status,switch
2021-12-13,🌠 作業記録,"### ChangeLogs

```markdown

# さくらVPS稼働版

# mysql側nyasocom2

⛄ 絵文字表示

🍬 画像投稿機能追加

🎮 DBバックアップ

```

以上です。

",false,false
2021-12-31,大晦日🌞,"

```markdown

# Windows環境

・ ruby3.1.0がでているがnokogiriでrailsを起動できない。依存ライブラリzlibなどでこける。

・ ruby3.0.3を入れ直し。2.7.xを削除。

・ Vimの設定ファイル書き直し。

```

",false,false
2022-01-01,新年🔔,"#### 記録

```markdown

・ コワーキングスペースと弁済金の入金済み

・ ATMは動いていた。

・ Excelに入力完了、あとどれくらいか見られる

```

#### 新年の抱負

```markdown

・ Ruby技術者Goldを取得する

・ Railsエンジニア5basicを取得する

# 挑戦

・ OSS-DB Silverに挑戦する

・ Python3 データ分析に挑戦する

# どちらでも

・ Oracle java bronze 合格を目指す

```

以上

",true,false
2022-01-04,🍬 新年開始,"### 明けましておめでとうございます。今年もよろしくお願いします。🙇

```markdown

・ RubyInstaller2で3.1.0を入れてそれぞれの環境を設置 (にゃそこん2、にゃそこん、zinbei、zinbeijettなど)

・ にゃそこんのRubyを3.1.0にバージョンアップ

・ go_straightの更新

・ configの新規作成

・ install.rb、installer.rbで自動生成確認

```

以上です。

",false,false
2022-03-05,にゃそこん3😹,"### 変更点

```markdown
・ にゃそこん2よりDBコマンドを移植
・ トップに戻れるボタンを編集画面などに追加
・ レイアウト調整
・ 削除ボタンと編集リンクなどをバリアフリー化
変更があればまた記事します。
```

※ 前回、削除ボタンの動作確認のため、DBを入れ直しました。",false,false
2022-05-20,Docker側🐳,"### 共存

```markdown
・ ローカル版とdocker版、database.ymlを共存完了。docker-compose downで消すように。copy形式で、共存前のファイルを記録してある。

・ Docker版、要らないコンテナを削除しました。起動時になぜか、残骸が残っていた。
```",false,false
2022-05-21,用途☆,"### 仕様

```markdown
・ ローカルは開発用、新規機能などはローカルで作ります。

・ Docker版は運用、ローカルで作ったモノを動作確認までローカルで済ませて、稼働するときに使います。
```",false,false
2021-10-09,リンク切れ,"> にゃそこん２はパブリックではなくなったため、リンク切れを起こします。

※ 内容を削除します。",false,false
2022-05-02,記念日🎁,"### 3年間の支払い終わり

```markdown
・ ねこ太郎さんの債務整理が今日で終わりました。3ヶ月分、立て替えました。3年間の支払いが終わりホッと安堵している様子です。

・ おじ太郎2号、自己破産で「身の丈にあった生活を心がける」ように言われてから7年ぐらい経過しました。

・ 信用情報も一部は復活しているんじゃないですかね。現金主義になり、デビットカードが役に立っています。
```

※ この記事は、非公開。公開しない。",true,false
2024-04-29,マイページ表示順序,"- マイページの表示順序を作成時→日付に変更しました。

※ ブログなどと同じにしました。

以上",true,false
2022-03-27,リンク解除🔏,"### 更新

```markdown
・ reactで作ろうとしているwelcomesページのリンクを解除しました。とりあえず、作ってからもう一度張り直します。

※ GitHubのdependentbotがマージをよく投げてくるようになったためです。
```",false,false
2022-04-06,コワーキング🔏,"### 更新内容

```markdown
・ Ping-tに登録した1年分前払い。とりあえず505問を2日でしたが意味がわからず。よく理解するまで繰り返し解く。

・ やっとこさ、RubyGemsで依存ライブラリを登録できた。インストール時に自動的に入るため、手動で入れなくてよくなった。対象は、zinbeiとzinbeijett。

・ Findyの伸びしろが120ぐらいまで伸びて、73の偏差値に変わった。特段何かあるわけじゃないが、偏差値が加算されたのはうれしい。
```

#### 自分を認め、生きていく。",false,false
2022-05-10,活動記録📝,"### 備忘録

```markdown
・ 日めくりをにゃそこん参のローカル用に入れてみました。ちゃんと動作しています。

・ コワーキングスペースのポスト確認に行きました。何もない幸せを感じています。

・ Ping-tは60%台です。軌道に乗り始めました。さらに深い知識にしたいと想います。

・ 教科書大事。

・ 検針日がいつなのかまだわからないですが、ちゃんと払ってきたので心配はなさそうです。
```",false,false
2022-03-25,よく眠れました💤,"### 更新

```markdown
・ メガテン5のユニバーサルエンジンに慣れない。早速、全滅してしまった。ロードからやり直し。クエストもいいけど、クリアすることにも念頭に置くべし。

・ BIZUDGothicとBIZUDMincho、UDEVGoshic、UDEVGoshicLGをvscodeのファミリーに追加してみた。

・ HackGenと共存している。もう少し見やすくなったかな。homebrewでリストがあれば追加しておく。

・ はてなブログを退会しました。書いた記事のテキストは手に入れたのでにゃそこん3のseed.rbに少しずつ追加していきます。

・ どれくらいかかるだろう。本文を検索対象にしたので、該当する内容を調べることはできそう。
```",false,false
2022-03-19,人修羅🚶,"### 更新

```markdown
・ 人修羅Lv.99とライドウLV.99で、メタトロン、ベルゼブブ、ミカエル、ガブリエル、

ラファエル、ウリエル、ギリガメラの貫通持ち所有、御魂に貫通継承などをして1週目クリアしました。

奥さんに、クリア画面を見せれてよかったです。少し疲れたので、2週目はすぐにはしないですね。ちょっとずつ進めていきます。

# スパロボ、クリアできる自信ないな。面白くないんだよな。難易度も、ストーリーも、出現する機体も。
```",false,false
2022-03-05,真女神転生Ⅴ👿,"### 更新

> メガテン5を買いました。ユニバーサルエンジンというのを積んでいて、立体的に主人公が動きます。

> 女性かなと想っていたのですが少年という設定で、名前を三毛猫ホームズにしました。どっちかわからなかったし、

本名は伏せたかったので。

```markdown
・ にゃん太郎のショルダーバッグ待ち。来るかな。午前中に来ました。やったね。Amazonに評価付けておいた。ありがとう。

・ コワーキングスペースのポストみてきた。何も無し。自転車の空気を入れてきた。行って良かった。天気も良くサイクリング日よりでした。

・ にゃそこん3のブログ側検索窓、タイトルだけなの本文にもヒットするように変更した。あとコメント一覧に検索窓設置。コメント検索できるようにした。
```",false,false
2022-04-24,一週間振り返り🎾,"### 備忘録 💵

```markdown
・ power-rubyist(ryzen2700x)のディスプレイを2枚に増やした。起動も確認。

・ Ping-tを続けている。得点は、0~70%で変動する。安定してきたら、よいのだけどね。

・ コワーキングスペースのポスト確認。入らないときは入ってないのだけど、選挙の封筒が入っていた。

・ WSLに22.04を入れた。ruby、python、node.js、perl、postgresqlを設定した。

・ iMac側、OSの更新を含めていろいろ更新した。Commandlinetoolsからhomebrewやneovim、macvimなど。neovimにcopilotをセットした。
```

そんな一週間、右隣の人が引っ越してきた。",true,false
2022-04-25,備忘録📋,"### 行動記録👱

```markdown
・ Ping-tで10問50%、まだまだだけどとりあえず点数をキープできるようにする。

・ ゲンキーで買い出し、3日分あればよい。2300円弱だったけれど、良い買い物かどうかは食料がどれくらいまで持つかによりけり。

・ Gemfileの依存ライブラリ更新。いつものことだけど、更新しておくに超したことはない。
```

今日の振り返り、報告。",false,false
2022-04-26,実装📚,"### 実装

```markdown
・ 静止画像単数機能
・ 静止画像複数機能
・ 動画機能
```

> にゃそこん2より移植。

> 作業終了後、もう一度実装し直して、音楽ファイル対応しました。ただ、次の日にしたいいね機能付与はRouteErrorが解決できず断念しました。

今回にゃそこん3限定で、それぞれにチェックボックスから画像や動画など削除機能も付きました。
",false,false
2024-03-18,ニコちゃんマーク,"> 原文と最後に編集したユーザIDを表示するように変更しました。

```markdown
原文：☺

編集：☺ 1 (1 ~ ユーザID)
```

わかりやすくなったと想います。",true,false
2024-02-19,新規機能追加,"### 新規機能追加

- マイページ機能を追加

```markdown
 カレントユーザの投稿のみ表示

 記事を投稿、編集など行える
```

#### 仕様

- 投稿時、ユーザID割り振り。

- デフォルトは0、インポート時に設定。

- 編集すると編集したユーザIDに変更。

- 表示、作成した日から降順。

以上、機能追加の詳細。",true,false
2022-04-27,機能追加一度停止❎,"### 変更点

```markdown
・ いいね機能を付与しようとしたが、RouteErrorが解決できず断念した。
```

> Rails7の仕様で、JavaScriptが切り離されたからか、createやdeleteが機能していないため非同期いいね機能を断念することにした。

> rails routesでは正しいルーティングを示していた。なぜ発生するのか、わからない。非同期いいね機能の再実装は、今のところ必要性を感じません。

> とりあえず、機能をにゃそこん2から移植はこれで停止。新規機能追加などの前に、自動テストなどを設置していくので、この先はメンテナンスにする。

#### SNS離脱、SNS疲れ
> 長年のつぶやき(2009年7月～2022年4月27日まで)に終止符を打ちました。

> 近年はコミュ障の影響でもはやつぶやきすらできない状態だった。

> E・マスク氏のTwitter買収報道を受けて、Twitterを退会することにしました。

> コミュ障や陰キャの利用するSNSに2兆円ほどの価値があるとはどうみても、視点を変えても、思えないですね。",true,false
2022-04-28,自動テスト💯,"### 朝活

```markdown
・ rspecとfactorybotでテストケースをmodel/user、書いてみた。

今後は、コントローラやヘルパーなど必要な項目を追加していく。テストケースでfailedするところはコメント化、挙動として正しいため。
```

テストケースが作り終われば、自動テストをGitHub Actionsでセットします。",false,false
2022-04-30,自動テスト ㍠,"### 備忘録

```markdown
# GitHub Actions
・ rspecが通るようにしたのと、rubocopチェックを入れてバグの検出ができるようにしました。

・ 2022/04/30で計118分 / 3000分を使いました。

# にゃそこん参カスタム
・ envブランチをローカル用にしました。

・ developとmainがテスト用です。mainブランチにpushまたはPRで自動テストがまわります。

・ 新規機能追加フェーズ→運営とメンテナンスに移行しました。これからは記録として使います。
```",false,false
2022-05-01,自動テスト㍡,"### 備忘録✑

```markdown
・ Gemfile.lockをにゃそこん参カスタムから削除しました。自動テストでは使わないためです。dependentbotが反応するのを回避します。

・ 今日も3分くらい、自動テストを回しました。修正も今のところないので、別のプロジェクトをコミットしようと想います。
```

#### 5/1は、メーデーです。普段の労働に感謝。フリーランスとして、個性派社会を生きていきます。",false,false
2022-05-04,依存ライブラリ更新✨,"### 変更履歴

```markdown
・ himekuri_tsのバージョン管理をnvmからnodenvに変更、compile.rbの内容を改めました。

・ にゃそこん弐、にゃそこん弐win、にゃそこん参の依存ライブラリ更新しました。

・ GW、2日目。特に何もないのが幸せでもある。GitHub、コミット数は20回程度。
```",false,false
2022-05-07,休日の過ごし方☀,"### 余暇、時間の使い道 🚗

```markdown
・ OSS-DBを学習、60%ぐらいは教科書と併用することでとれるようになってきた。知らないまたは見たことないものはメモるようにしている。

・ 小麦粉の高騰で、スパゲッティもお好み焼きもできなかったけれど、なんだかよいGWを過ごしているように想っている。

・ メガテン5、どんどん強くなる。高位な悪魔も召喚できるようになってきた。最終戦に向けて着々と準備中。
```

そんな日々を過ごしてる。

> 退屈な毎日、退屈な日々。もしそこに女神転生のような日常があったなら。",false,false
2022-05-13,DLCを買いました🎮,"### 記録

```markdown
・ ニンテンドーショップで初DLC版を買いました。3000円弱でした。人修羅への挑戦権やアルテミス、クレアパトラ、メフィストの悪魔合体が解禁されました。

・ 2週目のping-t、500問が終わりました。次はミスからスタートし直します。少しずつ点数が上がっていくといいな。
```",false,false
2022-05-14,非公開🔏,"### 備忘録

```markdown
・ 非公開に設定、公開にしたいときは管理ツール(pgAdmin)などでblogカラムのstatusテーブルのbooleanの値をfalseに変更すればよいです。

# 41番目のこの記事を公開にしたいとき

rails c
blog = Blog.find(41)
blog.update_attribute(:status, ""false"")

こういう風にできると想います。

※ 動作確認のため記事を非公開にします。

公開、非公開をチェックボックスで切り分けれるようにしました。手動でも切り替えれますがよりシンプルです。

難しい記事よりシンプルに実装出来る方が実用性があります。敷居の高さを感じないような身近なフレームワークにRailsがあるとうれしく思います。
```",true,false
2022-05-17,管理者のするべきこと🙎,"### 仕様の見直し

> 今までは、管理者はユーザと同じことができてなおかつ管理画面はユーザが編集した一覧を編集できるべきと考えていました。

```markdown
# 変更！
・ 管理者はユーザ情報の一覧と退会（論理退会）ができる。それ以外はユーザ権限に戻す。
論理削除なので、ユーザ情報は残るがアクセス権は消える。ユーザ側、非公開記事は閲覧できる。
・ 管理画面、ユーザ側にbootswatchを適用したことによるレイアウト崩れ対応。

・ ユーザは、ブログ側、記事のユーザ一覧、編集、削除、閲覧、新規作成、コメント側、コメント一覧、新規作成、編集、削除を行える。

・ ユーザ側deviceにbootswatchを適用、投稿一覧のレイアウト崩れ対応。
```

※ ユーザと管理者両方でログインすることで一覧へのアクセスはなくなりました。管理者はユーザのアクセス権はありません。

注意：管理者が論理退会したユーザの記事やコメントの削除はDB側で削除クエリを実行するか新規ユーザを発行し手動で削除します。

> Rails7で実装することは、常に自分は初だと想いながら行うので、緊張は続く。書籍が対応する日は来るのかな。",true,false
2022-05-18,Qt5をvs2010へ🐶,"### 作業✨

```markdown
# インストール

・ Qt5をVS2010に入れました。ビルド時に、黒い背景が出るので（再インストールしてもだめ）OutputColorを拡張機能から削除しました。良い山モデル側対応です。

・ ビルド内容は黒文字で自然にみれます。それ以外は、Qt4の内容がビルドできた。
```

※ C++やQtを時間があるとき進めていく。",false,false
2022-05-23,記録📝,"### 変更

```markdown
・ puma-daemonを解除

※ 今後は、Docker側でデーモン化する。アプリ本体でデーモン化はしない。
```",false,false
2022-05-23,買い出し☄,"### 行動記録

```markdown
・ 金色のカードで支払いができない人がいた。ゲンキーでその人のために長い時間待っていた。カードが止まったんだと想う。

返済期間が来なければ回り続けるし、リボで限度額を超えれば止まる。規約に書かれている期間3~10年が来たら自動的に止まる。

そのあと、返済期間と返済額を決めるために人が来る。

・ ゲンキーへ買い出しへ行ってきた。3340円で買い物をしてきた。暑い日だった。

・ puma-daemon解除した。デーモン化はdocker側で行う。サーバ側もいずれコンテナ管理に移行する。
```",true,false
2022-05-22,日曜日💤,"### 行動記録

```markdown
・ 眠さ、午前中眠っていた。いびきがうるさかったらしい。郵便局が来ていたらしいが今日は日曜日だ。

・ 一応、郵便ポストを見てきたが何もなかった。隣に郵便物が置き配になっていた。

・ 暑い、室温は少しずつ上がってきた。
```",false,false
2022-05-12,くそゲー🎮,"### 活動記録📝

```markdown
・ 1週目、メガテン5をクリアしました。新生と転生が選べたので、転生でスタートしました。

・ DLC版を買おうと想っています。まとめパックのやつ。メガテン3も事前にクリアしてあるので、やりこみ要素が多くてよいですね。

・ 昨日、先生（K弁）に連絡を入れて支払いを確認しました。1年経過するので連絡をくれたそうです。来月に支払いを2回することで完済する予定を口頭で伝えました。

・ himekuri_tsをにゃそこん参に設置しました。意外とシンプルに表示されていてうれしいですね。日めくり通常版はにゃそこん壱に設置しているので、変化が大事。
```",true,false
2022-06-11,運営フェーズへ🚶,"### 備忘録

```markdown
# 運営フェーズへ移行までもう少し

・ 新規作成、要件定義、🔚
・ 機能追加、🔚
・ ユーザテスト、🔚
・ ユニットテスト、🔚
・ 最終調整、🔚

運営→メンテナンス、㊧
```

長くかかったけれど、運営フェーズ手前までこれました。あとは使うときに起動します。👍",false,false
2022-06-15,独自ドメイン🎉,"### 行動🚶

```markdown
・ 独自ドメインを取り、設定しました。稼働していきます。運営フェーズまでこれました。
```",false,false
2022-06-19,レイアウト修正☕,"### 記録 📝

```markdown
・ カミナリのページネーションを中央寄せにしました。影響範囲に反映しました。

・ 反映後、再起動しました。

・ ロケールに時差があり、日付が変わるのに9時間程度あるようです。日本時間に対応はしません。
```",false,false
2022-06-20,メッセージ変更📨,"### 変更履歴

```markdown
# ブログ下部
・ コメント一覧をメンテナンスに変更しました。
・ ～区切り線、数を減らしました。

※ 今後、コメントをメンテナンス情報を記録する形で使っていきます。
```",false,false
2022-06-25,内部機能調整🚐,"

```markdown
・ 検索バー付近にあった表示件数を検索対象の全体数を表示するように変更しました。

・ N+1問題にも対処しました。
```

※ 内部変更です。現在のページネーション数を表示していたので、対象の全体数に変えました。",false,false
2022-09-28,全文検索対応🔍,"### 更新記録

```markdown
・ 本日、PGroongaを利用した全文検索に対応しました。
```

※ 検索がスマートになりました。

> Rails7に対応することで、さまざまな利点を手にしたと想います。今後も開発を継続します。",false,false
2022-05-20,定期検診、今月は終わり🔚,"### 行動記録

```markdown
・ 定期検診へ行ってきた。「仕事があると精神が安定することもあるのを覚えておきたまえ」と言われてきた。

・ 私は、「仕事は今はないですね」と言った。昔、訓練を受けたことがあるので、個人で請負できるようにしていると言った。

前も話していたんだけどな。

・ 入室するときのフルネームは、声かけをしているから要らないそうだ。入り口に張り紙がしてあるけどな。

・ 毎回、名前を呼んでいただいていますと言った。指を指されるだけのときもあったけどな。なんだか社会は難しい。

・ 今日は疲れた。記録を書いて休む。Ping-t、10問50%、zoneを入れてドーピングしたが点数は伸び悩む。ほんとに休もう。

・ Docker版とローカル用を共存できるようにした。すでに用途を変えている。
```",true,false
2022-06-17,稼働3日目📆,"### 記録📝

```markdown
・ 毎日、メンテナンスで依存ライブラリ更新をしています。

これで稼働して3日目です。

今のところ、問題はありません。
```

> ブログシステムとして、運営しています。",false,false
2022-06-21,夏至🎇,"### 履歴

```markdown
・ 依存ライブラリを更新しました。
・ サーバを再起動しました。
・ 日めくりTSを更新しました。
・ Dockerfile内よりnpm install -g yarnを消しました。

※ 内部構造を変えたため、

出力レイアウトに変更はありません。

1.0.10 → 1.1.0へバージョンを上げました。
```

#### 今日は夏至です。

> 日の出から日の入りまでの時間がもっとも長い日です。

今日も良い日を過ごしていきます。🎇",false,false
2024-04-26,DB等入れ替え,"- 最近まで書いていたログを消しました

- ログは、手帳に書いてあります

- Rubyを新しいバージョンに対応したため、

※ その他の項目を入れ替えました。

- 動画、CWで応募前に挙動を見せるために作ったスクリーンショットです。

以上
",true,false
2022-04-29,備忘録✒,"### 行動

```markdown
・ 明文堂書店でOSS-DB ver2.0の教科書を買いました。KindleでGitHub Actionsの電子書籍も買いました。

・ 奥さんには手芸本2冊買いました。GWを過ごすために先行投資。

・ Amazonのタイムセールでケトルを買いました。Findyのお花見キャンペーンに応募。

・ アマゾンギフトを1000円分もらえたので、4300円の品物がタイムセールで300円引き、アマギフとポイント値引きで実際2700円程度で手に入りました。

・ GitHub Actionsをにゃそこん3カスタムに設置。結局、58回のビルドをしました。54回程度エラーになりましたが、無事通るようにできました。
```

#### 修正前

> ・ GitHub Actionsをにゃそこん3カスタムに設置。ビルドエラーが13回ほど続いたが無事、グリーンになりました。

> rspecをローカルで書いて追加していくぞ。wikiに更新しないファイルを書いた。気をつける。
",false,false
2022-04-18,備忘録⚽,"### 最近の活動記録🏀

```markdown
・ Windows 10 pro → Windows 11 proにアップグレードした。やりたいことに制限はなくなり、動作は前より軽い。

・ 後日、グラフィックドライバーも更新した。ドライバーのみ入れた。

・ opencvの電子書籍を買ったので、試しに動作をWSLでみると動く。サンプルとして、動作をみるのもよい。

・ ついでにディープラーニングとはどういうものかも知ろう。テストケースを機械学習に変更も良いかもしれない。いろいろopencvで改良してみよう。

・ コロナワクチン3回目、4日も経てば痛みはとれた。体調は万全だけど、数日経過してしまったpostgresの知識は入れ直し。

・ すぐには境界線まで行かないもんだね。繰り返し解く。
```",false,false
2022-04-13,コロナワクチン3回目💉,"### 活動内容

```markdown
・ 虎徹(CPUクーラー)を買いました。
TwitterやFindyなどの懸賞に応募して当たったのを割引に使いました。

コロナワクチンを接種した日に取り付けたのですが、ディスプレイに映らない問題が発生しました。

対処、ディスプレイの電源を切る→PC本体の電源を切る→1日放置→

ボタン電池(CR2032)を取り替える→

グリスの量を調整(はみ出る部分をティッシュで拭き取る)などをしました。

・BIOSがついて、CPUファンの接続先ケーブル違いが発生したのに対処→Windows起動でした。

・PCを初期化、入れ直しました。PBO(Precision Boost Overdrive)があるともはや遅い処理のコンピュータにイライラするようになりましたね。

※ きっと怠惰な技術者には必要な機能です。

・コロナワクチン3回目接種、接種証明アプリを入れました。ちゃんと証明書発行までしました。

・接種当日、腕に痛みあり。接種2日目、38.1℃を超える体温になりました。

このとき頭痛と目が腫れていて痛みがありました。接種3日目、頭痛は少しだけになり、目の腫れは止まり痛みはなくなりました。

完全復活までもう少し。コロナをなめていましたね。
```

※ 話題はたくさん。盛りだくさん。",true,false
2022-10-11,表記追加📝,"### 更新履歴

```markdown
# PGroonga and groonga

・ バージョンを表示し、最下部に追加しました。
```

※ PGroongaを利用していることがわかると想います。",false,false
2021-10-08,初投稿、祝ブログ機能。,"### ブログ機能が付きました。

> ブログ機能なので、JavaやDBやRubyなど、電気・電子、PCパーツなどの記事を書いていきたい。

> もちろん、実装した機能の説明も入れていく。※ 容量は気にするべきかもしれない。

```ruby
require ""date""

class Sample
  def self.ruby
    puts Time.now
  end
end

Sample.ruby
```

_現在時刻を発生するコード_

>チャット機能にするか迷った。

異なるユーザを必要としない多対多の関連付けなどがなく比較的に実装数が少ないブログ機能にした。

",false,false
2022-10-15,ワクチン接種日,"### 記録💉

```markdown
・ コロナワクチン接種4回目、オミクロン株対応版を接種しました。

※ 今のところ、熱や異常はありません。
```

※ 接種証明書で証明も発行しました。これからもこうやって予防していきます。",false,false
2022-10-10,解決⭕,"### 環境構築

> 先日、homebrewで入れたimagemagickが更新すると

前バージョンと4.3.0が入らなくなる問題。

> 5.0.0がリリースされて解決した。

※ ちゃんと動作するようになった。

>  まだまだ、Intel_macは活躍できそうだ。

<s>数日中、pgroongaのバージョンを上げてにゃそこん参カスタムに対応します。</s>

※ 対応しました。仕様を少し変更しました。",false,false
